Contact ID,Contact Type,Customer Number,Customer Sub Type,Place of Supply,Taxable,Tax Name,Tax Percentage,Tax Type,Exemption Reason,Contact Name,Display Name,Company Name,Salutation,First Name,Last Name,EmailID,Phone,MobilePhone,Skype Identity,Facebook,Twitter,Department,Designation,Price List,Payment Terms,Currency Code,GST Treatment,GST Identification Number (GSTIN),Notes,Website,Contact Address ID,Billing Attention,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Attention,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Phone,Shipping Fax,Shipping Latitude,Shipping Longitude,Source,Last Sync Time,Status
1923531000000809186,customer,CUS100327,business,GJ,TRUE,,,,,Aza Ahemdabad,Aza Ahemdabad,Aza Fashions Private Limited,,,,,07016371950,,,,,,,,30,INR,business_gst,24AAACO7149M1Z5,,,1923531000000809186,Aza Fashions Pvt Ltd,"Shop No.001, Puniska House","Ambli Bopal Road,",Ahmedabad,Gujarat,India,380054,,,Aza Fashions Pvt Ltd,"Shop No.001, Puniska House","Ambli Bopal Road,",Ahmedabad,Gujarat,India,380054,,,,,1,,user
1923531000000809250,customer,CUS100329,business,DL,TRUE,,,,,Aza Delhi,Aza Delhi,Aza Fashions Private Limited,,,,,,,,,,,,,30,INR,business_gst,07AAACO7149M1Z1,,,1923531000000809250,Aza Fashions Pvt Ltd,"Eros F- 48, South Extension, N.D.S.E. 1",South Extension,South Delhi,Delhi,India,110049,,,Aza Fashions Pvt Ltd,"Eros F- 48, South Extension, N.D.S.E. 1",South Extension,South Delhi,Delhi,India,110049,,,,,1,,user
1923531000000809230,customer,CUS100328,business,TS,TRUE,,,,,Aza Hyderabad,Aza Hyderabad,Aza Fashions Private Limited,,,,,07016371950,,,,,,,,30,INR,business_gst,36AAACO7149M2ZZ,,,1923531000000809230,Aza Fashions Pvt Ltd,"Road No.11,Avenue-4",Banjaraâ Hills,Hyderabad,Telangana,India,500034,,,Aza Fashions Pvt Ltd,"Road No.11,Avenue-4",Banjaraâ Hills,Hyderabad,Telangana,India,500034,,,,,1,,user
1923531000000176029,customer,CUS100019,business,WB,TRUE,,,,,Aza Kolkata,Aza Kolkata,Aza Fashions Private Limited,,,,,,,,,,,,,30,INR,business_gst,19AAACO7149M1ZW,,,1923531000000176029,Aza Fashions Pvt Ltd,"Ground Floor, Flat No 2, Leecourt Building,","36, Elgin Road",Kolkata,West Bengal,India,700020,,,Aza Fashions Pvt Ltd,"Ground Floor, Flat No 2, Leecourt Building,","36, Elgin Road",Kolkata,West Bengal,India,700020,,,,,1,,user
1923531000000176011,customer,CUS100018,business,MH,TRUE,,,,,Aza Mumbai,Aza Mumbai,Aza Fashions Private Limited,,,,,,,,,,,,,30,INR,business_gst,27AAACO7149M1ZZ,,,1923531000000176011,Aza Fashions Pvt Ltd,"7Th Floor, 702, B Wing, Naman Midtown","Senapati Bapat Marg,
Prabhadevi",Mumbai,Maharashtra,India,400013,,,Aza Fashions Pvt Ltd,"7Th Floor, 702, B Wing, Naman Midtown","Senapati Bapat Marg,
Prabhadevi",Mumbai,Maharashtra,India,400013,,,,,1,,user
1923531000000818003,customer,CUS100330,business,KA,TRUE,,,,,Jaypore Simbus,Jaypore Simbus,Simbus Sourcing LLP,,,,,,,,,,,,,30,INR,business_gst,29AFAFS9668H1ZA,,,1923531000000818003,Simbus Sourcing LLP,"# 951, 24Th Main Road, First Floor, R.K Colony","Marenahalli, 2Nd Phase, J. P. Nagar",Bengaluru,Karnataka,India,560078,,,Simbus Sourcing LLP,"# 951, 24Th Main Road, First Floor, R.K Colony","Marenahalli, 2Nd Phase, J. P. Nagar",Bengaluru,Karnataka,India,560078,,,,,1,,user
1923531000000176206,customer,CUS100026,business,DL,TRUE,,,,,Pernia Delhi,Pernia Delhi,PSL Retail Pvt. Ltd.,,,,,,,,,,,,,30,INR,business_gst,07AAKCP7468C1Z5,,,1923531000000176206,Pernia's Pop Up Shop,"A-287, 2Nd Floor, 
Defence Colony,",,New Delhi,Delhi,India,110024,,,Pernia's Pop Up Shop,"A-287, 2Nd Floor, 
Defence Colony,",,New Delhi,Delhi,India,110024,,,,,1,,user
1923531000000089005,customer,CUS100014,business,DL,TRUE,,,,,Pernia Mumbai,Pernia Mumbai,PSL Retail Pvt. Ltd.,,,,,8291133210,,,,,,,,30,INR,business_gst,07AAKCP7468C1Z5,,,1923531000000089005,Pernia's Pop Up Shop,"Cts No.1081, Plot No.110, Tps Village,Service Road Western Express Highway, Vile Parle (East)",,Mumbai,Maharashtra,India,400057,8291133210,,Pernia's Pop Up Shop,"Cts No.1081, Plot No.110, Tps Village,Service Road Western Express Highway, Vile Parle (East)",,Mumbai,Maharashtra,India,400057,8291133210,,,,1,,user
1923531000001411003,customer,CUS100458,business,KA,TRUE,,,,,Simbus Sourcing LLP,Simbus Sourcing LLP,Simbus Sourcing LLP,,,,,,,,,,,,,45,INR,business_gst,29AFAFS9668H1ZA,,,1923531000001411003,Simbus Sourcing LLP,"# 951, 24Th Main Road, First Floor, R.K Colony,","Marenahalli, 2Nd Phase, J. P. Nagar",Bangalore,Karnataka,India,560078,,,Simbus Sourcing LLP,"Plot No 19, Sector 140,
Gautam Buddha Nagar,",,Noida,Uttar Pradesh,India,201305,,,,,1,,user
1923531000002414103,customer,MC100572,business,RJ,TRUE,,,,,Taj Amer Jaipur,Taj Amer Jaipur,Taj Trade And Transport Co. Ltd.,,,,khazana.amer@tajhotels.com,,,,,,,,,30,INR,business_gst,08AAACT1628E2ZM,,,1923531000002414103,"Khazana, Taj Amer Jaipur","Khazana, Hotel Taj Amer, Delhi Highway, Amer",Jaipur,Jaipur,Rajasthan,India,302028,,,"Khazana, Taj Amer Jaipur","Khazana, Hotel Taj Amer, Delhi Highway, Amer",Jaipur,Jaipur,Rajasthan,India,302028,,,,,1,,user
